# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Pt2 O4
# Reduced formula:  PtO2
# space group: (Pn-3m), space number:  (224)
# abc:  4.483783   4.483783   4.483783
# angles: 90.000000  90.000000  90.000000
# sites: 6
# mp-20119
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
# Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
# Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
# Gam_ch=5.171E+00 H-L exch
# Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9415
#           2       0.00000     17.79     12.00     3   3.5268
#           3       0.00000     54.95     12.00     2   3.7178
#           4       0.00000     46.25      8.00     2   3.8831
#           5       0.00000     63.62      8.00     3   3.8831
#           6       0.00000      8.10      4.00     4   3.8831
#           7       0.00000     40.94      4.00     4   3.8831
#           8       0.00000      6.08     12.00     4   3.8831
#           9       0.00000     12.02     48.00     3   4.4149
#          10       0.00000     24.11      6.00     2   4.4838
#          11       0.00000      4.55     24.00     3   4.7712
#          12       0.00000     23.15     12.00     2   4.8861
#          13       0.00000     22.22     24.00     3   4.9991
#          14       0.00000      7.34     24.00     3   5.0715
#          17       0.00000      5.70     12.00     4   5.1121
#          18       0.00000      9.37     12.00     4   5.1121
#          19       0.00000      5.47     24.00     3   5.3554
#          20       0.00000      7.33     24.00     3   5.3553
#          21       0.00000      5.32     24.00     4   5.3554
#          22       0.00000     11.12     24.00     4   5.3553
#          23       0.00000      5.47     24.00     4   5.4683
#          24       0.00000      4.13     24.00     4   5.4683
#          25       0.00000     11.13     24.00     5   5.4683
#          27       0.00000     10.01     24.00     3   5.5754
#          28       0.00000     10.27     24.00     4   5.6593
#          31       0.00000     16.75     16.00     2   5.8246
#          32       0.00000      4.63      8.00     3   5.8246
#          33       0.00000     20.11      8.00     3   5.8246
#          34       0.00000      8.85      8.00     4   5.8246
#          36       0.00000     25.41      4.00     4   5.8246
#    30/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     5.2000    3.446786E-02  4.025995E-02  1.359411E+01
     5.2500    3.481575E-02  3.817160E-02  1.371471E+01
     5.3000    3.499203E-02  3.664208E-02  1.383592E+01
     5.3500    3.498079E-02  3.551450E-02  1.396358E+01
     5.4000    3.455962E-02  3.458161E-02  1.410150E+01
     5.4500    3.342975E-02  3.366555E-02  1.425559E+01
     5.5000    3.121850E-02  3.251378E-02  1.442038E+01
     5.5500    2.783092E-02  3.099410E-02  1.459289E+01
     5.6000    2.343264E-02  2.903574E-02  1.476886E+01
     5.6500    1.837880E-02  2.657143E-02  1.494416E+01
     5.7000    1.338503E-02  2.369239E-02  1.510759E+01
     5.7500    9.147734E-03  2.053965E-02  1.524638E+01
     5.8000    6.232928E-03  1.735975E-02  1.534072E+01
     5.8500    5.006362E-03  1.457808E-02  1.535741E+01
     5.9000    5.362194E-03  1.289278E-02  1.527902E+01
     5.9500    6.809955E-03  1.295115E-02  1.515429E+01
     6.0000    8.563534E-03  1.472134E-02  1.508714E+01
     6.0500    9.740517E-03  1.769772E-02  1.512514E+01
     6.1000    9.398176E-03  2.105416E-02  1.524525E+01
     6.1500    6.977471E-03  2.434106E-02  1.541723E+01
     6.2000    2.373109E-03  2.728378E-02  1.562087E+01
     6.2500   -4.028190E-03  2.970977E-02  1.584397E+01
     6.3000   -1.142434E-02  3.151159E-02  1.607896E+01
     6.3500   -1.877002E-02  3.262985E-02  1.632086E+01
     6.4000   -2.500181E-02  3.304503E-02  1.656606E+01
     6.4500   -2.926161E-02  3.277281E-02  1.681163E+01
     6.5000   -3.106583E-02  3.186080E-02  1.705490E+01
     6.5500   -3.045592E-02  3.046040E-02  1.729591E+01
     6.6000   -2.770832E-02  2.858622E-02  1.752723E+01
     6.6500   -2.355863E-02  2.637189E-02  1.774487E+01
     6.7000   -1.886363E-02  2.397767E-02  1.794408E+01
     6.7500   -1.439389E-02  2.158759E-02  1.811969E+01
     6.8000   -1.066928E-02  1.940142E-02  1.826728E+01
     6.8500   -7.876016E-03  1.761346E-02  1.838597E+01
     6.9000   -5.880481E-03  1.636921E-02  1.848210E+01
     6.9500   -4.328214E-03  1.570850E-02  1.857041E+01
     7.0000   -2.794037E-03  1.553581E-02  1.866873E+01
     7.0500   -1.049656E-03  1.590220E-02  1.878350E+01
     7.1000    1.298705E-03  1.638427E-02  1.892890E+01
     7.1500    4.175556E-03  1.676357E-02  1.910129E+01
     7.2000    7.257244E-03  1.688476E-02  1.929384E+01
     7.2500    1.007493E-02  1.665532E-02  1.949921E+01
     7.3000    1.216037E-02  1.603692E-02  1.971022E+01
     7.3500    1.319023E-02  1.503754E-02  1.991946E+01
     7.4000    1.308647E-02  1.370720E-02  2.011826E+01
     7.4500    1.204414E-02  1.213929E-02  2.029506E+01
     7.5000    1.047922E-02  1.048011E-02  2.043339E+01
     7.5500    9.028913E-03  9.079332E-03  2.052579E+01
     7.6000    7.943038E-03  8.009035E-03  2.054882E+01
     7.6500    7.534544E-03  7.567461E-03  2.051366E+01
     7.7000    7.882823E-03  7.896128E-03  2.047841E+01
     7.7500    8.811395E-03  8.841078E-03  2.050232E+01
     7.8000    9.938530E-03  1.009773E-02  2.059816E+01
     7.8500    1.078539E-02  1.139954E-02  2.075010E+01
     7.9000    1.091030E-02  1.256520E-02  2.093940E+01
     7.9500    1.003106E-02  1.348110E-02  2.115199E+01
     8.0000    8.101576E-03  1.408102E-02  2.137811E+01
     8.0500    5.284654E-03  1.430166E-02  2.161266E+01
     8.1000    2.043483E-03  1.417796E-02  2.184651E+01
     8.1500   -1.142881E-03  1.373467E-02  2.207446E+01
     8.2000   -3.844584E-03  1.302196E-02  2.229085E+01
     8.2500   -5.787908E-03  1.211646E-02  2.248917E+01
     8.3000   -6.914387E-03  1.112311E-02  2.266196E+01
     8.3500   -7.376772E-03  1.017540E-02  2.280213E+01
     8.4000   -7.474942E-03  9.426297E-03  2.290685E+01
     8.4500   -7.551983E-03  9.016246E-03  2.298402E+01
     8.5000   -7.881696E-03  9.016276E-03  2.305486E+01
     8.5500   -8.587454E-03  9.403265E-03  2.314232E+01
     8.6000   -9.609821E-03  1.005118E-02  2.326450E+01
     8.6500   -1.069568E-02  1.079862E-02  2.342376E+01
     8.7000   -1.148662E-02  1.150246E-02  2.361443E+01
     8.7500   -1.162775E-02  1.205452E-02  2.382883E+01
     8.8000   -1.087738E-02  1.238088E-02  2.405990E+01
     8.8500   -9.185840E-03  1.243685E-02  2.430175E+01
     8.9000   -6.720911E-03  1.220233E-02  2.454943E+01
     8.9500   -3.832818E-03  1.167845E-02  2.479835E+01
     9.0000   -9.686214E-04  1.088534E-02  2.504364E+01
     9.0500    1.453530E-03  9.897941E-03  2.528013E+01
     9.1000    3.121094E-03  8.736951E-03  2.549804E+01
     9.1500    3.921061E-03  7.484388E-03  2.568416E+01
     9.2000    3.960848E-03  6.258015E-03  2.581807E+01
     9.2500    3.528948E-03  5.230506E-03  2.587328E+01
     9.3000    3.007350E-03  4.629740E-03  2.583976E+01
     9.3500    2.761010E-03  4.626123E-03  2.577229E+01
     9.4000    3.035406E-03  5.147108E-03  2.576347E+01
     9.4500    3.890133E-03  5.943339E-03  2.584631E+01
     9.5000    5.185758E-03  6.790764E-03  2.600169E+01
     9.5500    6.682795E-03  7.584648E-03  2.621091E+01
     9.6000    7.934921E-03  8.198444E-03  2.644931E+01
