# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  P8 Pt4
# Reduced formula:  P2Pt
# space group: (Pa-3), space number:  (205)
# abc:  5.722614   5.722614   5.722614
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-730
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.374 Rnm= 1.446 L3 shell
# Pot 1 Z=15 Rmt= 1.324 Rnm= 1.436
# Pot 2 Z=78 Rmt= 1.387 Rnm= 1.462
# Gam_ch=5.171E+00 H-L exch
# Mu= 1.703E+00 kf=2.133E+00 Vint=-1.564E+01 Rs_int= 1.700
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4034
#           2       0.00000     28.96      6.00     2   3.6007
#           3       0.00000      7.67      2.00     2   3.8680
#           4       0.00000     53.58     12.00     2   4.0465
#           5       0.00000     10.13     12.00     3   4.0900
#           6       0.00000     23.95     24.00     3   4.4266
#           7       0.00000     11.87      6.00     2   4.7064
#           8       0.00000      6.46      6.00     3   4.8067
#           9       0.00000     18.60      6.00     4   4.8067
#          14       0.00000      7.18      6.00     2   5.4166
#          16       0.00000     12.73     12.00     2   5.5978
#          17       0.00000     14.07     12.00     3   5.6410
#          18       0.00000      4.02     12.00     3   5.6665
#          19       0.00000      7.87      6.00     4   5.6841
#          20       0.00000     10.29      6.00     2   5.7226
#          21       0.00000      4.92     12.00     3   5.7571
#          23       0.00000      8.07     12.00     3   5.8633
#          24       0.00000      8.65     12.00     3   5.8633
#    18/  21 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     5.2500    4.713073E-02  8.784372E-02  1.514164E+01
     5.3000    2.723384E-02  8.547415E-02  1.538369E+01
     5.3500    6.737296E-03  8.248065E-02  1.562619E+01
     5.4000   -1.256795E-02  7.888820E-02  1.586796E+01
     5.4500   -2.950570E-02  7.481762E-02  1.611334E+01
     5.5000   -4.244160E-02  7.027580E-02  1.635638E+01
     5.5500   -5.067920E-02  6.534147E-02  1.659564E+01
     5.6000   -5.414514E-02  6.011469E-02  1.682934E+01
     5.6500   -5.325117E-02  5.455043E-02  1.706007E+01
     5.7000   -4.888109E-02  4.888117E-02  1.728060E+01
     5.7500   -4.231601E-02  4.325257E-02  1.748724E+01
     5.8000   -3.489514E-02  3.782843E-02  1.767516E+01
     5.8500   -2.764677E-02  3.262873E-02  1.783865E+01
     5.9000   -2.165075E-02  2.802692E-02  1.796679E+01
     5.9500   -1.738668E-02  2.429710E-02  1.805209E+01
     6.0000   -1.487878E-02  2.171431E-02  1.809467E+01
     6.0500   -1.394668E-02  2.049124E-02  1.810095E+01
     6.1000   -1.393147E-02  2.068250E-02  1.811050E+01
     6.1500   -1.407615E-02  2.196104E-02  1.815381E+01
     6.2000   -1.366262E-02  2.388680E-02  1.824065E+01
     6.2500   -1.214018E-02  2.609171E-02  1.836560E+01
     6.3000   -9.199373E-03  2.833371E-02  1.851888E+01
     6.3500   -4.787931E-03  3.047610E-02  1.869180E+01
     6.4000    9.206285E-04  3.245382E-02  1.887793E+01
     6.4500    7.586310E-03  3.424650E-02  1.907293E+01
     6.5000    1.476858E-02  3.585937E-02  1.927404E+01
     6.5500    2.242041E-02  3.765710E-02  1.948730E+01
     6.6000    2.964851E-02  3.925970E-02  1.970550E+01
     6.6500    3.583239E-02  4.066691E-02  1.992778E+01
     6.7000    4.039392E-02  4.187477E-02  2.015362E+01
     6.7500    4.284364E-02  4.287410E-02  2.038266E+01
     6.8000    4.282961E-02  4.365062E-02  2.061461E+01
     6.8500    4.018582E-02  4.418640E-02  2.084916E+01
     6.9000    3.497221E-02  4.446211E-02  2.108593E+01
     6.9500    2.749508E-02  4.445989E-02  2.132441E+01
     7.0000    1.829693E-02  4.416617E-02  2.156400E+01
     7.0500    7.904179E-03  4.348872E-02  2.180838E+01
     7.1000   -2.545239E-03  4.248695E-02  2.205109E+01
     7.1500   -1.216397E-02  4.118690E-02  2.229096E+01
     7.2000   -2.022082E-02  3.962761E-02  2.252665E+01
     7.2500   -2.623562E-02  3.786148E-02  2.275670E+01
     7.3000   -3.002701E-02  3.595408E-02  2.297955E+01
     7.3500   -3.170379E-02  3.398294E-02  2.319362E+01
     7.4000   -3.160295E-02  3.203499E-02  2.339753E+01
     7.4500   -3.018951E-02  3.020171E-02  2.359037E+01
     7.5000   -2.794229E-02  2.857142E-02  2.377219E+01
     7.5500   -2.527484E-02  2.722827E-02  2.394304E+01
     7.6000   -2.244632E-02  2.624512E-02  2.410669E+01
     7.6500   -1.950689E-02  2.563205E-02  2.426783E+01
     7.7000   -1.635648E-02  2.535315E-02  2.443153E+01
     7.7500   -1.282288E-02  2.533384E-02  2.460202E+01
     7.8000   -8.755843E-03  2.547678E-02  2.478191E+01
     7.8500   -4.110493E-03  2.567992E-02  2.497198E+01
     7.9000    1.003101E-03  2.585100E-02  2.517155E+01
     7.9500    6.316944E-03  2.591652E-02  2.537896E+01
     8.0000    1.144861E-02  2.582584E-02  2.559202E+01
     8.0500    1.612003E-02  2.571563E-02  2.581025E+01
     8.1000    1.986683E-02  2.541728E-02  2.603001E+01
