# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     6.4000   -7.749537E-05  1.017921E-02  1.884194E+01
     6.4500   -1.712920E-03  1.044220E-02  1.868477E+01
     6.5000   -2.637877E-03  1.236068E-02  1.863449E+01
     6.5500   -1.991624E-03  1.518710E-02  1.871804E+01
     6.6000    6.175615E-04  1.814407E-02  1.888360E+01
     6.6500    5.088547E-03  2.091340E-02  1.909534E+01
     6.7000    1.085361E-02  2.332935E-02  1.933346E+01
     6.7500    1.701294E-02  2.530129E-02  1.958702E+01
     6.8000    2.253696E-02  2.678193E-02  1.984961E+01
     6.8500    2.648732E-02  2.775363E-02  2.011711E+01
     6.9000    2.820568E-02  2.822170E-02  2.038666E+01
     6.9500    2.743038E-02  2.821050E-02  2.065607E+01
     7.0000    2.432023E-02  2.776057E-02  2.092350E+01
     7.0500    1.942957E-02  2.705476E-02  2.119000E+01
     7.1000    1.338589E-02  2.602160E-02  2.145082E+01
     7.1500    6.996463E-03  2.473212E-02  2.170434E+01
     7.2000    9.816762E-04  2.326368E-02  2.194894E+01
     7.2500   -4.138829E-03  2.169639E-02  2.218309E+01
     7.3000   -8.096330E-03  2.010878E-02  2.240553E+01
     7.3500   -1.085798E-02  1.857246E-02  2.261557E+01
     7.4000   -1.256199E-02  1.714586E-02  2.281336E+01
     7.4500   -1.342939E-02  1.586773E-02  2.300021E+01
     7.5000   -1.368105E-02  1.475209E-02  2.317854E+01
     7.5500   -1.355604E-02  1.386062E-02  2.335192E+01
     7.6000   -1.307632E-02  1.308635E-02  2.352280E+01
     7.6500   -1.227678E-02  1.238290E-02  2.369296E+01
     7.7000   -1.118019E-02  1.170378E-02  2.386219E+01
     7.7500   -9.840241E-03  1.101488E-02  2.402798E+01
     7.8000   -8.365730E-03  1.030494E-02  2.418548E+01
     7.8500   -6.914169E-03  9.593922E-03  2.432796E+01
     7.9000   -5.654665E-03  8.939140E-03  2.444787E+01
     7.9500   -4.712115E-03  8.436013E-03  2.454008E+01
     8.0000   -4.112589E-03  8.203239E-03  2.460760E+01
     8.0500   -3.751577E-03  8.379662E-03  2.466855E+01
     8.1000   -3.387400E-03  8.962091E-03  2.474514E+01
     8.1500   -2.706981E-03  9.897257E-03  2.485570E+01
     8.2000   -1.401877E-03  1.107826E-02  2.500586E+01
     8.2500    7.336838E-04  1.238695E-02  2.519201E+01
     8.3000    3.718641E-03  1.371689E-02  2.540728E+01
     8.3500    7.341068E-03  1.497938E-02  2.564492E+01
     8.4000    1.117107E-02  1.610278E-02  2.589940E+01
