 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  U1 O2
 Reduced formula:  UO2
 space group: (Fm-3m), space number:  (225)
 abc:  3.856567   3.856567   3.856567
 angles: 60.000000  60.000000  60.000000
 sites: 3
 mp-1597
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
 Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
 Gam_ch=8.104E+00 H-L exch
 Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   2  24.000   4.5222    2.0759   -4.65224 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -4.0905    1.3635   -1.3635  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  4.800  1.3784E+01  4.7684E-01 -2.8614E+01  1.245E+00  4.2033E+00  5.1282E+00
  5.000  1.3686E+01  4.3931E-01 -2.8827E+01  1.218E+00  4.3498E+00  5.3076E+00
  5.200  1.3583E+01  4.0462E-01 -2.9023E+01  1.196E+00  4.5034E+00  5.4890E+00
  5.400  1.3476E+01  3.7273E-01 -2.9206E+01  1.174E+00  4.6632E+00  5.6721E+00
  5.600  1.3365E+01  3.4339E-01 -2.9377E+01  1.154E+00  4.8287E+00  5.8568E+00
  5.800  1.3252E+01  3.1658E-01 -2.9537E+01  1.135E+00  4.9992E+00  6.0428E+00
  6.000  1.3138E+01  2.9228E-01 -2.9688E+01  1.118E+00  5.1745E+00  6.2301E+00
  6.500  1.2854E+01  2.4110E-01 -3.0032E+01  1.081E+00  5.6311E+00  6.7026E+00
  7.000  1.2587E+01  2.0134E-01 -3.0339E+01  1.052E+00  6.1105E+00  7.1803E+00
  7.500  1.2325E+01  1.7077E-01 -3.0618E+01  1.031E+00  6.6094E+00  7.6620E+00
  8.000  1.2068E+01  1.4715E-01 -3.0872E+01  1.015E+00  7.1255E+00  8.1466E+00
  8.500  1.1817E+01  1.2827E-01 -3.1102E+01  1.002E+00  7.6569E+00  8.6337E+00
  9.000  1.1574E+01  1.1237E-01 -3.1310E+01  9.905E-01  8.2021E+00  9.1226E+00
  9.500  1.1341E+01  9.8731E-02 -3.1501E+01  9.801E-01  8.7599E+00  9.6131E+00
 10.000  1.1117E+01  8.7260E-02 -3.1679E+01  9.708E-01  9.3293E+00  1.0105E+01
 11.000  1.0681E+01  7.0340E-02 -3.2001E+01  9.550E-01  1.0499E+01  1.1091E+01
 12.000  1.0270E+01  5.7908E-02 -3.2281E+01  9.433E-01  1.1707E+01  1.2081E+01
 13.000  9.8835E+00  4.7977E-02 -3.2532E+01  9.359E-01  1.2948E+01  1.3072E+01
 14.000  9.5184E+00  4.1186E-02 -3.2759E+01  9.311E-01  1.4218E+01  1.4065E+01
 15.000  9.1762E+00  3.6208E-02 -3.2972E+01  9.284E-01  1.5515E+01  1.5059E+01
 16.000  8.8528E+00  3.2742E-02 -3.3187E+01  9.269E-01  1.6836E+01  1.6054E+01
 17.000  8.5477E+00  3.0863E-02 -3.3402E+01  9.263E-01  1.8180E+01  1.7050E+01
 18.000  8.2580E+00  2.9712E-02 -3.3613E+01  9.265E-01  1.9545E+01  1.8047E+01
 19.000  7.9846E+00  2.8782E-02 -3.3823E+01  9.270E-01  2.0928E+01  1.9043E+01
 20.000  7.7253E+00  2.8279E-02 -3.4019E+01  9.275E-01  2.2329E+01  2.0041E+01
